name,offer_url,location,stock_id,status,sleeps,slide_outs,mileage,price,horsepower
2017 THOR FOUR WINDS 24FS,/rvdetails/used-class-c-rvs/2017-thor-four-winds-24fs-front-living-80k-WDS2191889,"

Woodstock,GA
",2191889,Used,5,1,37727,87999,-
2016 WINNEBAGO VIEW 24G,/rvdetails/used-class-c-rvs/2016-winnebago-view-24g-front-living-80k-SUT2182608,"

St.George,UT
",2182608,Used,4,2,15851,88499,-
2020 COACHMEN PRISM 2150CB,/rvdetails/used-class-c-rvs/2020-coachmen-prism-2150cb-rear-bath-80k-CRV2160573P,"

Wauconda,IL
",2160573P,Used,5,1,17047,88999,-
2019 COACHMEN PRISM 2300DS,/rvdetails/used-class-c-rvs/2019-coachmen-prism-2300ds-front-living-80k-KAT2097607A,"

Katy,TX
",2097607A,Used,3,1,12600,88999,-
2015 RENEGADE VILLAGIO 25QRS,/rvdetails/used-class-c-rvs/2015-renegade-villagio-25qrs-front-living-80k-STX2129704,"

Spring,TX
",2129704,Used,4,2,40830,88999,-
2018 THOR QUANTUM KM24,/rvdetails/used-class-c-rvs/2018-thor-quantum-km24-front-living-80k-ABRV2191894,"

Draper,UT
",2191894,Used,6,1,28801,88999,-
2016 WINNEBAGO FUSE 23T,/rvdetails/used-class-c-rvs/2016-winnebago-fuse-23t-front-living-80k-DEN2203336,"

Denton,TX
",2203336,Used,4,1,32372,88999,-
name,offer_url,location,stock_id,status,sleeps,slide_outs,mileage,price,horsepower
2017 THOR COMPASS 23TB,/rvdetails/used-class-c-rvs/2017-thor-compass-23tb-front-living-80k-UMA2197237P,"

Uxbridge,MA
",2197237P,Used,3,1,7516,89999,-
2018 COACHMEN PRISM 2150CB,/rvdetails/used-class-c-rvs/2018-coachmen-prism-2150cb-front-living-90k-COC2192639,"

Cocoa,FL
",2192639,Used,6,1,13419,90499,-
2017 THOR COMPASS 23TK,/rvdetails/used-class-c-rvs/2017-thor-compass-23tk-front-living-90k-OMN2193503,"

Owatonna,MN
",2193503,Used,3,1,27569,90499,-
2018 FOREST RIVER SUNSEEKER MBS 2400W,/rvdetails/used-class-c-rvs/2018-forest-river-sunseeker-mbs-2400w-front-living-80k-OOK2169298,"

CampingWorldofOklahomaCityEast-
OklahomaCity,OK
",2169298,Used,6,1,13391,89999,-
2016 THOR CHATEAU CITATION 24SR,/rvdetails/used-class-c-rvs/2016-thor-chateau-citation-24sr-front-living-80k-WDS2191795,"

Woodstock,GA
",2191795,Used,5,2,22250,89999,-
2015 ROADTREK ROADTREK RS E-TREK,/rvdetails/used-class-b-rvs/2015-roadtrek-roadtrek-rs-e-trek-rear-living-80k-KY50001P,"

Kaysville,UT
",50001P,Used,2,-,52177,89999,-
2016 FOREST RIVER SUNSEEKER MBS 2400R,/rvdetails/used-class-c-rvs/2016-forest-river-sunseeker-mbs-2400r-front-living-90k-PWA2198500P,"

Pasco,WA
",2198500P,Used,5,2,31982,90999,-
2011 WINNEBAGO VIA 25R,/rvdetails/used-class-a-diesel-rvs/2011-winnebago-via-25r-front-living-60k-BIL2161800,"

Biloxi,MS
",2161800,Used,6,1,25772,60999,-
2016 WINNEBAGO NAVION 24G,/rvdetails/used-class-c-rvs/2016-winnebago-navion-24g-front-living-90k-PWA2167507P,"

Pasco,WA
",2167507P,Used,4,2,36275,91999,-
2013 THOR PALAZZO 33.3,/rvdetails/used-class-a-diesel-rvs/2013-thor-palazzo-333-front-living-90k-MAC2165542,"

Byron,GA
",2165542,Used,7,2,33786,91499,-
2008 ITASCA ELLIPSE 40TD,/rvdetails/used-class-a-diesel-rvs/2008-itasca-ellipse-40td-front-living-90k-SIL2130428,"

Springfield,IL
",2130428,Used,4,2,-,91999,-
2020 THOR COMPASS 23TW,/rvdetails/used-class-c-rvs/2020-thor-compass-23tw-rear-bath-90k-POH2177702P,"

Piqua,OH
",2177702P,Used,3,1,12172,92999,-
